Origem,Criterio,Media,Mediana,Desvio_Padrao
ChatGPT,Clareza,4.533333333333333,5.0,0.5163977794943222
ChatGPT,Dificuldade,4.466666666666667,4.0,0.5163977794943222
ChatGPT,Interdisciplinaridade,4.4,4.0,0.5070925528371101
ChatGPT,Pensamento Computacional,4.466666666666667,5.0,0.7432233529572065
ChatGPT,Qualidade Pedagógica,4.6,5.0,0.50709255283711
Gemini,Clareza,4.066666666666666,4.0,1.162919151265879
Gemini,Dificuldade,4.2,4.0,0.6761234037828132
Gemini,Interdisciplinaridade,4.8,5.0,0.4140393356054127
Gemini,Pensamento Computacional,4.733333333333333,5.0,0.4577377082170636
Gemini,Qualidade Pedagógica,4.066666666666666,4.0,0.7037315505489968
OBI,Clareza,4.555555555555555,5.0,0.5113099925649136
OBI,Dificuldade,4.5,4.5,0.5144957554275266
OBI,Interdisciplinaridade,3.8333333333333335,4.0,1.098126747211439
OBI,Pensamento Computacional,4.333333333333333,5.0,0.9074852129730304
OBI,Qualidade Pedagógica,4.5,4.5,0.5144957554275263
Tese,Clareza,4.333333333333333,4.0,0.6513389472789296
Tese,Dificuldade,4.5,4.5,0.5222329678670935
Tese,Interdisciplinaridade,3.8333333333333335,4.0,1.403458930534474
Tese,Pensamento Computacional,4.083333333333333,4.0,0.90033663737852
Tese,Qualidade Pedagógica,4.25,4.0,0.7537783614444092
